âŠ•,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-5,-4,-3,-3,-2,-2,-1,0,0,1,2,2,3,4,5,6,6,7,8,9,10,11,12,13,14,15,15
-4,-3,-3,-2,-2,-1,-1,0,1,1,2,3,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16
-3,-3,-2,-2,-1,-1,0,0,1,2,2,3,4,4,5,6,7,8,8,9,10,11,12,13,14,15,16
-2,-2,-2,-1,-1,0,0,1,1,2,3,3,4,5,5,6,7,8,9,9,10,11,12,13,14,15,16
-1,-2,-1,-1,0,0,1,1,2,2,3,4,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16
0,-1,-1,0,0,1,1,2,2,3,3,4,5,5,6,7,7,8,9,10,11,11,12,13,14,15,16
1,0,0,0,1,1,2,2,3,3,4,4,5,6,6,7,8,8,9,10,11,12,12,13,14,15,16
2,0,1,1,1,2,2,3,3,4,4,5,5,6,7,7,8,9,9,10,11,12,13,13,14,15,16
3,1,1,2,2,2,3,3,4,4,5,5,6,6,7,8,8,9,10,10,11,12,13,14,14,15,16
4,2,2,2,3,3,3,4,4,5,5,6,6,7,7,8,9,9,10,11,11,12,13,14,15,15,16
5,2,3,3,3,4,4,4,5,5,6,6,7,7,8,8,9,10,10,11,12,12,13,14,15,16,16
6,3,3,4,4,4,5,5,5,6,6,7,7,8,8,9,9,10,11,11,12,13,13,14,15,16,17
7,4,4,4,5,5,5,6,6,6,7,7,8,8,9,9,10,10,11,12,12,13,14,14,15,16,17
8,5,5,5,5,6,6,6,7,7,7,8,8,9,9,10,10,11,11,12,13,13,14,15,15,16,17
9,6,6,6,6,6,7,7,7,8,8,8,9,9,10,10,11,11,12,12,13,14,14,15,16,16,17
10,6,7,7,7,7,7,8,8,8,9,9,9,10,10,11,11,12,12,13,13,14,15,15,16,17,17
11,7,7,8,8,8,8,8,9,9,9,10,10,10,11,11,12,12,13,13,14,14,15,16,16,17,18
12,8,8,8,9,9,9,9,9,10,10,10,11,11,11,12,12,13,13,14,14,15,15,16,17,17,18
13,9,9,9,9,10,10,10,10,10,11,11,11,12,12,12,13,13,14,14,15,15,16,16,17,18,18
14,10,10,10,10,10,11,11,11,11,11,12,12,12,13,13,13,14,14,15,15,16,16,17,17,18,19
15,11,11,11,11,11,11,12,12,12,12,12,13,13,13,14,14,14,15,15,16,16,17,17,18,18,19
16,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,15,15,15,16,16,17,17,18,18,19,19
17,13,13,13,13,13,13,13,13,14,14,14,14,14,15,15,15,16,16,16,17,17,18,18,19,19,20
18,14,14,14,14,14,14,14,14,14,15,15,15,15,15,16,16,16,17,17,17,18,18,19,19,20,20
19,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,17,17,18,18,18,19,19,20,20,21
20,15,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,19,19,19,20,20,21,21
